,Review_title,Review_text,Ratings
0,No Backlit keyboard and Fingerprint sensor,"Everything other than fingerprint sensor and backlit keyboard is fine. 8 gb RAM and 512 name ssd dies a great job... Although, backlight keyboard has become a compensation... very disappointing that there is no fingerprint sensor or backlit keyboard",2.0 out of 5 stars
1,Wrong information,"In description it is written that laptop is full hd ips display<br><br>But it is not, it is tn dislpay",2.0 out of 5 stars
2,"It’s modified ssd and it’s not 512 GB, it’s 476 GB SSD.","Display specifications delivered item different configuration, it’s modified ssd and it’s not 512 GB, it’s 476 GB SSD.",3.0 out of 5 stars
3,Improve battery backup because it is too poor.,Battery backup is too poor as see in photos. But company claim that backup is upto 5hours but it has only 2-3 hours backup.,3.0 out of 5 stars
4,Vendor is corrupt,I bought this laptop one year back and laptop was turning on as soon as I am opening the lid. But after one year I found that power button is faulty that is why laptop is turning on. Also some plastic was damaged from inside,1.0 out of 5 stars
5,Very poor Customer service.,"Very poor Customer service, don't buy this product. I am regretting a lot.<br>1) It's not refundable.<br>2) Fhd ips Screen, 512gb ssd and 8gb ram are + points<br>3) Very poor sound( in earphones it's more pathetic 👿) and very poor battery performance.<br>4) That 1month *mcafee* is just a crap, uninstall it and buy some new one",1.0 out of 5 stars
6,"Dont buy, Go for another brand. Lenovo is no good","on the 20th day of purchase, my screen went blackout. The technician visited 4 times to fix the issue and he opened the computer 8 times. After the repair, no sound, the system hangs and WIndows were reimaged with no activation key. It's no longer the brand I knew. Don't buy Lenovo.",1.0 out of 5 stars
7,Not working very rare use,I bought this on 02/10/2021 within three months laptop is not even working. Very worst experience 40k is completely gone.,1.0 out of 5 stars
8,Poor Quality product,After one week Lines are visible on the display and am try to contact customer care support then they are not ready to replace laptop or refund. Waste product don’t buy,1.0 out of 5 stars
9,"Camera issue, isb issue",Camera sometimes doesn’t work. USB ports doesn’t work sometimes,1.0 out of 5 stars
10,I have got a defective laptop  with diff camera,Very disappointed,1.0 out of 5 stars
11,Do not waste your money,"The built quality is very cheap and not good, definately will start getting problems with the laptop for which the service centres will make you regret buying lenovo would suggest to go for hp or dell has better quality hardware",1.0 out of 5 stars
12,Chip quality laptop,i purchased only 10 day ago my laptop screen is not working this product is very poor quality. don't buy this product.,1.0 out of 5 stars
13,Not upto the quality,"Worst experience. It started to hang at first. Then after placing for replacement, serial number was wrong. It took a month to return and refund.",1.0 out of 5 stars
14,Handsfree issue,"Everything is good, but since system is updated, unable to connect handsfree for zoom calls, Google meet, teams etc.<br>It doesn't get unmute, only speaker has to be use...don't know this issue is of OS or laptop...",5.0 out of 5 stars
15,perfect Laptop,I am using this laptop from last year and really that was a great deal,5.0 out of 5 stars
16,Nice,Good,5.0 out of 5 stars
17,Simply...perfect....,Everything is working fine... great value for money...built quality is perfect for day to day use....starts within 5 seconds....no lags at all ....,5.0 out of 5 stars
18,Beast,It's not a machine it's a beast speed is like rocket and auto start feature on opening the screen.Best laptop ever purchased,5.0 out of 5 stars
19,Good Laptop. Value for money,Very sleek and same time gives sturdy out look.<br><br>Value for money,5.0 out of 5 stars
20,Writing review after using it for a while.,Bery good in performance and affordable in price,5.0 out of 5 stars
21,That's osm for regularly and basic uses.,It's arctic gray color is really looks like Matelic,5.0 out of 5 stars
22,Slient king in Laptop always,Great,5.0 out of 5 stars
23,Best quality,,5.0 out of 5 stars
24,,,
25,,,
26,IPS Display,IPS display provide you extreme angle to view screen of the laptop. Very fast laptop.<br>Booting time is 6 sec,5.0 out of 5 stars
27,nice product and nice delivery by amazon,so good product and so good delivery by amazon.,5.0 out of 5 stars
28,The best laptop under 44k,"Great design, love the speed, I have 8gb,512GB, it is super amazing",5.0 out of 5 stars
29,Excellent product,"Best item, camera quality very good",5.0 out of 5 stars
30,good laptop,i got micron ssd 512 gb.ram brand dont know but its 8 gb.display is good(ips).,5.0 out of 5 stars
31,,,
32,Value for money,Best quality as per the requirements.,4.0 out of 5 stars
33,sides. This is disappointing because how amazon will fulfill this promise i dont know,The product is OK but the lenovo gives only one year warranty and the amazon is telling that it will give 1 year additional warranty from amazon end. How they will fulfill this promise i dont know.,4.0 out of 5 stars
34,This is not a hardcore gaming laptop.,Guys this is a very good laptop for office works and student needs. But this isn't  a hardcore gaming laptop. For good gaming laptop go above 55000.,4.0 out of 5 stars
35,Value for money,Multiple tabs stutter at times,4.0 out of 5 stars
36,Overall good product,This laptop meets my daily requirements surfing and excel sheets and good to have 512 gb ssd at this price range,4.0 out of 5 stars
37,Performance Good,Overall laptop is good and has a good performance.,4.0 out of 5 stars
38,Quick and battery backup,"Nice colour, it is fast ,good battery backup I expected to have more loud speakers in it ,,audio is good quality,,not bad can be used for simple works for call center job etc not effective for software Engineer work",4.0 out of 5 stars
39,Warranty and features not as mentioned,"During purchase it shows 2 years warranty. But on receipt showing only 21 months warranty left out of 24 months.<br><br>Also, in features, it shows baklit keyboard.<br>But no such function available in the laptop model.<br><br>Overall, as of now laptop seems ok for the price, but giving only 2 stars due to wrong information given in description (as mentioned above)",2.0 out of 5 stars
40,Did not like the screen display quality- Whitish ting,"Here are my initial view about this laptop. I did not like the screen, it has a  white washed ting which does not look good at all. The black colour is like off black, the viewing angle is also not great either. I think this is the biggest drawback of this model. Please note this model does not have backlit keyboard nor finger print sensor.<br><br>Some of the<br>Likes<br>- Lightweight<br>- Good built quality plastic with brush aluminum finish on top. The bottom part is grey matt plastic<br>- Quick booting under 10sec<br>- Win11 works well<br>- Good for light weight tasks<br>- No comment on the battery life yet<br>- Average battery of a 40k laptop<br><br>Dislike<br>- Screen<br>- Keys could have been better<br>- Camera quality is just average<br>- 65 w charger is portable but the cable length is not enough, comes with regular pin type, no USB C charger",2.0 out of 5 stars
41,Battery draining issue,There is Battery draining issue with this laptop. After charging 100%. After I setup the laptop the battery remain 57%. Now the battery decrease 1% in 1.5 min. Never buy this laptop.,2.0 out of 5 stars
42,Waste of Money,"&nbsp;Excel is not active, making fool by pre installed, keyboard backlite is not working. Amazon Customer care also not taking any responsibility,when in talked about products problem,reply is sorry for inconvenience. Lenovo customer service will never bother about problem. Just 4 days purchased and lots of problem. Asking for ket to activate system. Over all very poor experience.",2.0 out of 5 stars
43,Display is very poor and whitish,"Biggest drawback is display quality, its fade and whitish..rest all ok as per the price. My kid is asking why display is not clear by looking at others laptop",2.0 out of 5 stars
44,No backlit keyboard. battery life is not as mentioned,battery life- Not up to notch.<br>No backlit keyboard<br>No support for return since this product is not as mentioned on Amazon .,3.0 out of 5 stars
45,Good laptop with basic features but battery gets low very fast.,Battery is not upto the mark. Battery reduce very faster. Other function are good working well till date.,3.0 out of 5 stars
46,Poor display rest ok,Poor display rest all ok,3.0 out of 5 stars
47,Audio system is not working properly,Dislike,3.0 out of 5 stars
48,Bad Battery Backup and Very Low Speaker volume,Very Bad Battery Backup and Very Low Speaker volume. Rest is ok.,3.0 out of 5 stars
49,I don't know battery gets discharged very sion,Battery is not good 3 months game pass is also not included office is included,3.0 out of 5 stars
50,Poor screen quality,"Everyone talks about the performance, Anti-glare and stuff but the screen actually is very poor quality. Viewing angles are hopeless and the color is pretty dull always. HDR is a real joke in here. Buy only if you don't intend to watch movies or anything in it.",3.0 out of 5 stars
51,Keyboard Backlight,Some of the earlier comments says it’s with<br>Keyboard Backlight . But not,3.0 out of 5 stars
52,Good one,Doing quality and screen is not up to the mark,3.0 out of 5 stars
53,Battery capacity is not good,It is draining too early,3.0 out of 5 stars
54,,,
55,,,
56,"256gb Is not good options 180gb free space, battery running 3-4hours on office working",Light waight<br>Charger lenth is very small it should be 3-4m<br>Outlet is paid exl ppt free<br>Speed is good,3.0 out of 5 stars
57,,,
58,Useless Laptop with Usless Brand,"Camera is Useless, Waste of Money and Even I am trying to get Replace with Qaulity. They are havaing issue in this..<br><br>Be Aware, Do not Purchase this....",1.0 out of 5 stars
59,Dont buy this product,Dont buy this product you can't even return the item because as per retun policy u can only take replacement i haven't check that at the time of purchase..  i have wasted my money i am student and this amount matters a lot for me😭😭😭 .. Audio is horrible😠😠😠 and battery sucks,1.0 out of 5 stars
60,Faulty Display,After 10 days of usage there was defect in display screen. There were pink lines on display. It its hardware failure or damages probably because in BIOS setup also those pink lines could be seen.,1.0 out of 5 stars
61,Pathethic battery life,If you are looking for long battery life refrain purchasing this product battery does'nt last properly for even 1 hr even also you'll not get a DVD driver/writer.,1.0 out of 5 stars
62,MS office not pre-loaded; misleading product info,MS-office is not pre-loaded; it has to be purchased separately. This is false product information provided by the company on this page.,1.0 out of 5 stars
63,Worst After Sales Service - Do not recommend to but this,"It's been 4 months since I bought the laptop and this is not the first time with Lenovo they have the worst build quality, Always the Hinges get damaged and the service center even if the laptop is under the warranty, charges for getting the laptop hinges repaired by the service center.<br>Please don't buy this.<br>Extremely unhappy with the after-sales service and support from Lenovo.",1.0 out of 5 stars
64,Keyboard light not working,&nbsp;Backlight not working,1.0 out of 5 stars
65,"The laptop did not switch on. I asked for a replacement, which is also not forthcoming",The product did not switch on. I was absolutely dead,1.0 out of 5 stars
66,Product is very worse quality,"The product quality is bad, camera is very much blurred not at all good, battery is very weak overall the product is not satisfactory as per its specification and we are very much disappointed on  purchasing this product. Also, Amazon is not accepting the product for return even though it is not perfect in quality",1.0 out of 5 stars
67,Cheating with me.,Cheat with me. In advertisement and reviews it's showing functions of Backlight keyboard and fingerprint scanner..<br>But when I received laptop No Backlight keyboard and no fingerprint scanner...,1.0 out of 5 stars
68,,,
69,,,
70,System running is very slow,&nbsp;I don't like this product because this system process is very slow,1.0 out of 5 stars
71,Mother board damage,Very bad,1.0 out of 5 stars
72,Worst laptop,Worst laptop. Don't buy ..<br>1. Easy scratch in backcover<br>2. Poor touch pad<br>3.kedboard not responding after one montn ( 1 time keyboard changed ) . 13th month also i faced same issue but coustomer care not responding.<br>4. Poor battery backup<br>5. This is not a Dolby Atmos speaker.. worst sound<br>6. Worst Lenovo coustomer care.<br><br>My suggestion don't buy this laptop....<br><br>50K money waste.......,1.0 out of 5 stars
73,Worst laptop you will ever buy,Quality of hardware is worst. Screen frame cracked and came out of hinge within a year. Customer care denied service even within warranty period,1.0 out of 5 stars
74,,,
75,A nice package for sub 30k₹ range,"The features this laptop offers for the price of 28k₹ during great sale are fabulous. Metal finish plastic back and front is eye catching, weight is minimal. Battery life is average, viewing angles and sharpness of screen and sound are below average. Bought this primarily for basic office work and occasional movie watching. This is not a machine for gaming and heavy multimedia consumption. Weigh your pros and and cons before buying this one. Can’t complain much for the price tag!!",5.0 out of 5 stars
76,Best laptop in Budget,"Good Laptop, but battery life is not so good, laptop in Budget and light weight display interface is beautiful and very smooth and fast.<br>I thanks to Amazon to deliver the product in margin price 27.5k. lovely Product",5.0 out of 5 stars
77,Superb at 26k,"&nbsp;Best laptop for normal use like browsing, printing excetra<br><br>Negative -battery backup is not good,no type c port,no anti-glare,no casting support<br><br>Postive -display is great , multiple USB port, very good platic material used for laptop 💻",5.0 out of 5 stars
78,Very nice product 😊 thank you Amazon,Very good product ☺️,5.0 out of 5 stars
79,As defined,Good and Compact for normal usage.,5.0 out of 5 stars
80,Best in this price range,"Display Screen is just ok, angle view is not clear. Performance seems to be fine, best part is windows 11 and MS office is pre-installed. Light weight, nice design and perfect display/keyboard ratio. Typing experience is good. Overall a good laptop with good package.",5.0 out of 5 stars
81,Good working fine,Light Weight with Value for Money,5.0 out of 5 stars
82,Excellent,,5.0 out of 5 stars
83,good,good laptop,5.0 out of 5 stars
84,Good value for money,"Received this 2 weeks back and have been using it since for home use (browsing, MS Office, emails). Delivers everything as per specifications, good value for the price I got (35.8k). The only complaint is battery does not last for more than 4 hrs, so anyone planning to use this when not connected may have to consider this when making a decision. No other complaints.",5.0 out of 5 stars
85,,,
86,,,
87,Wow 👌,Awesome,5.0 out of 5 stars
88,Lightweight laptop with great display,"I bought a 14"" laptop instead of a 15"" one so that its light enough to carry everyday. This laptop is quite sleek &amp; lightweight.<br>The full hd display is amazing with crystal clear colours and anti glare screen. It does not have a touchscreen.<br>The sound is loud enough for listening to videos/songs from even 6 feet away. This is unlike some touchscreen laptops where sound is quite feeble.<br>The camera takes good quality photos &amp; videos.<br>Thanks to 8GB  RAM the laptop is quite fast to work on.<br>I preferred SSD over HDD, which dramatically increased overall speed. Boot time is &lt;15 seconds now. I use an external HDD to store all my files &amp; keep my laptop lightweight with only SDD so that its much easier to carry along.<br><br>Overall I'm very satisfied with this laptop.",5.0 out of 5 stars
89,I got a loot deal of 27000 on prime day!!,&nbsp;This is a sturdy product complete value for money<br>Everything is preinstalled..<br>This is absolutely loot deal<br>Thank you Amazon,5.0 out of 5 stars
90,Super fast and light weight,Very satisfied with the laptop<br>Very fast boots up in 2sec<br>Screen is anti glare and good for the price<br>Battery life is around 5hrs with light to medium usage which is also good<br>Looks stylish,5.0 out of 5 stars
91,Bettery life is good.,Bettery life is good and working easy to use.,5.0 out of 5 stars
92,Screen quality is worst,If want better screen quality then don't go with this model. Screen is not pure LED.,5.0 out of 5 stars
93,a good deal in below 40k range,perfect choice if your workload is only limited to document editing..,5.0 out of 5 stars
